"Date","Price","Open","High","Low","Vol.","Change %"
"27-06-2018","3,043.80","3,043.00","3,064.50","3,024.00","273.89K","0.62%"
"26-06-2018","3,025.05","3,003.00","3,040.90","2,981.50","225.12K","1.22%"
"25-06-2018","2,988.70","2,987.00","3,024.95","2,980.00","129.69K","0.30%"
"22-06-2018","2,979.72","2,984.45","2,999.00","2,947.53","184.02K","-0.05%"
"21-06-2018","2,981.35","3,000.00","3,014.97","2,975.00","151.97K","-0.55%"
"20-06-2018","2,997.78","2,999.20","3,027.75","2,985.00","259.29K","0.32%"
"19-06-2018","2,988.28","3,030.00","3,041.47","2,961.03","190.78K","-1.60%"
"18-06-2018","3,037.00","3,066.85","3,066.85","3,029.95","234.72K","-1.02%"
"15-06-2018","3,068.30","3,007.50","3,089.72","2,997.65","358.54K","2.25%"
"14-06-2018","3,000.88","3,023.50","3,023.50","2,985.50","153.54K","-0.26%"
"13-06-2018","3,008.57","2,967.55","3,040.00","2,967.55","198.28K","1.19%"
"12-06-2018","2,973.30","2,955.22","2,977.50","2,930.28","90.80K","0.61%"
"11-06-2018","2,955.22","2,963.50","2,982.12","2,950.50","138.47K","-0.12%"
"08-06-2018","2,958.82","3,008.00","3,008.00","2,944.03","176.90K","-1.26%"
"07-06-2018","2,996.65","2,955.00","3,008.50","2,944.05","244.24K","1.98%"
"06-06-2018","2,938.47","2,902.50","2,944.50","2,902.50","137.32K","1.12%"
"05-06-2018","2,905.90","2,877.78","2,920.00","2,877.78","146.21K","0.79%"
"04-06-2018","2,883.10","2,918.70","2,932.03","2,855.30","234.99K","-0.80%"
"01-06-2018","2,906.22","2,987.00","2,987.00","2,897.10","244.77K","-1.88%"
"31-05-2018","2,961.97","2,900.00","3,007.90","2,880.00","620.77K","2.32%"
"30-05-2018","2,894.93","2,876.70","2,909.78","2,868.00","220.70K","-0.26%"
"29-05-2018","2,902.55","2,927.35","2,934.00","2,889.12","169.82K","-0.65%"
"28-05-2018","2,921.47","2,939.38","2,939.38","2,896.50","136.48K","0.26%"
"25-05-2018","2,913.75","2,860.00","2,925.00","2,853.03","234.92K","1.91%"
"24-05-2018","2,859.10","2,851.68","2,895.95","2,841.00","263.79K","0.04%"
"23-05-2018","2,857.85","2,810.00","2,867.50","2,800.00","389.01K","1.99%"
"22-05-2018","2,802.20","2,774.72","2,815.00","2,760.15","223.36K","1.50%"
"21-05-2018","2,760.80","2,803.50","2,835.50","2,739.45","222.48K","-1.35%"
"18-05-2018","2,798.53","2,754.50","2,820.00","2,740.12","306.42K","2.20%"
"17-05-2018","2,738.38","2,775.00","2,785.00","2,720.53","266.52K","-1.18%"
"16-05-2018","2,771.10","2,715.00","2,792.50","2,667.82","478.00K","1.60%"
"15-05-2018","2,727.40","2,750.00","2,753.85","2,708.15","277.74K","-0.17%"
"14-05-2018","2,732.05","2,755.00","2,755.00","2,706.60","80.05K","-0.25%"
"11-05-2018","2,738.85","2,700.00","2,746.20","2,700.00","124.23K","1.69%"
"10-05-2018","2,693.22","2,700.22","2,713.07","2,672.75","200.29K","-0.28%"
"09-05-2018","2,700.75","2,709.50","2,726.28","2,694.55","125.67K","-0.79%"
"08-05-2018","2,722.35","2,745.00","2,750.00","2,691.62","107.51K","-0.51%"
"07-05-2018","2,736.35","2,692.25","2,750.03","2,692.25","151.63K","1.64%"
"04-05-2018","2,692.25","2,675.00","2,713.62","2,650.50","225.30K","0.89%"
"03-05-2018","2,668.55","2,730.00","2,730.00","2,660.00","152.10K","-1.62%"
"02-05-2018","2,712.53","2,772.50","2,782.75","2,704.40","144.16K","-1.60%"
"30-04-2018","2,756.60","2,731.50","2,768.22","2,730.00","129.50K","0.96%"
"27-04-2018","2,730.38","2,695.00","2,747.93","2,689.18","176.86K","1.63%"
"26-04-2018","2,686.70","2,690.00","2,706.03","2,672.55","184.85K","-0.04%"
"25-04-2018","2,687.65","2,650.00","2,726.25","2,638.62","190.56K","1.47%"
"24-04-2018","2,648.60","2,665.00","2,671.55","2,625.55","116.20K","-0.30%"
"23-04-2018","2,656.53","2,675.00","2,682.40","2,652.22","181.69K","-0.17%"
"20-04-2018","2,661.18","2,698.00","2,700.47","2,649.75","88.07K","-1.36%"
"19-04-2018","2,697.90","2,683.50","2,709.62","2,673.07","129.05K","0.64%"
"18-04-2018","2,680.82","2,684.00","2,694.20","2,660.50","129.79K","0.37%"
"17-04-2018","2,671.05","2,668.50","2,710.22","2,657.12","392.79K","0.56%"
"16-04-2018","2,656.18","2,606.45","2,669.00","2,592.93","191.33K","1.99%"
"13-04-2018","2,604.45","2,610.00","2,618.07","2,579.30","293.69K","0.89%"
"12-04-2018","2,581.43","2,566.50","2,601.50","2,555.00","223.38K","0.54%"
"11-04-2018","2,567.68","2,569.95","2,580.68","2,553.00","87.60K","0.02%"
"10-04-2018","2,567.12","2,582.00","2,588.75","2,530.00","148.51K","-0.56%"
"09-04-2018","2,581.45","2,591.00","2,603.50","2,568.28","125.08K","-0.30%"
"06-04-2018","2,589.12","2,544.97","2,599.97","2,525.00","272.78K","2.18%"
"05-04-2018","2,533.93","2,512.50","2,537.35","2,505.50","204.05K","0.86%"
"04-04-2018","2,512.20","2,528.50","2,542.40","2,495.50","268.38K","-1.48%"
"03-04-2018","2,549.90","2,559.00","2,559.50","2,522.30","214.84K","-0.14%"
"02-04-2018","2,553.53","2,499.00","2,558.85","2,487.20","291.72K","2.75%"
"28-03-2018","2,485.30","2,482.40","2,502.00","2,452.10","526.03K","0.12%"
"27-03-2018","2,482.40","2,437.50","2,492.88","2,431.93","485.25K","2.20%"
"26-03-2018","2,429.00","2,420.03","2,435.00","2,419.47","192.50K","0.38%"
"23-03-2018","2,419.82","2,405.50","2,435.00","2,395.00","273.34K","0.03%"
"22-03-2018","2,419.10","2,427.50","2,435.00","2,410.25","177.05K","0.08%"
"21-03-2018","2,417.22","2,410.00","2,428.00","2,410.00","404.66K","0.19%"
"20-03-2018","2,412.53","2,410.00","2,417.50","2,403.00","323.25K","0.20%"
"19-03-2018","2,407.78","2,431.00","2,434.97","2,401.50","223.66K","-0.93%"
"16-03-2018","2,430.30","2,434.97","2,447.50","2,420.00","303.84K","-0.16%"
"15-03-2018","2,434.12","2,421.50","2,448.00","2,406.20","606.40K","0.92%"
"14-03-2018","2,411.88","2,425.12","2,427.50","2,403.00","208.79K","-0.95%"
"13-03-2018","2,434.97","2,430.28","2,447.50","2,416.18","218.07K","0.06%"
"12-03-2018","2,433.40","2,437.50","2,447.50","2,410.38","146.01K","0.52%"
"09-03-2018","2,420.90","2,434.50","2,440.00","2,412.12","377.00K","-0.14%"
"08-03-2018","2,424.20","2,452.75","2,458.75","2,411.12","268.07K","-0.74%"
"07-03-2018","2,442.35","2,412.50","2,457.50","2,390.00","253.84K","1.23%"
"06-03-2018","2,412.60","2,447.50","2,467.45","2,393.53","156.36K","-1.58%"
"05-03-2018","2,451.22","2,456.00","2,469.72","2,445.70","157.47K","-0.84%"
"01-03-2018","2,471.93","2,492.50","2,499.97","2,460.00","105.07K","-1.01%"
"28-02-2018","2,497.12","2,465.00","2,504.65","2,448.65","180.96K","0.85%"
"27-02-2018","2,476.12","2,487.50","2,532.90","2,455.25","427.03K","-0.25%"
"26-02-2018","2,482.38","2,482.80","2,499.00","2,472.03","224.70K","0.06%"
"23-02-2018","2,480.95","2,450.00","2,489.50","2,437.55","305.41K","2.18%"
"22-02-2018","2,427.93","2,387.00","2,437.50","2,375.68","424.91K","1.81%"
"21-02-2018","2,384.88","2,387.50","2,393.45","2,369.80","246.90K","0.75%"
"20-02-2018","2,367.05","2,364.00","2,390.00","2,362.50","265.36K","0.02%"
"19-02-2018","2,366.65","2,390.75","2,390.75","2,347.95","89.96K","-1.02%"
"16-02-2018","2,390.97","2,400.50","2,405.00","2,368.00","165.57K","0.55%"
"15-02-2018","2,377.88","2,393.90","2,408.18","2,350.78","165.65K","-0.18%"
"14-02-2018","2,382.07","2,432.50","2,437.90","2,373.18","699.92K","-0.18%"
"12-02-2018","2,386.25","2,335.00","2,395.00","2,335.00","429.51K","2.83%"
"09-02-2018","2,320.57","2,263.03","2,339.90","2,263.03","241.48K","0.28%"
"08-02-2018","2,314.00","2,274.93","2,327.00","2,257.75","199.33K","1.70%"
"07-02-2018","2,275.22","2,307.45","2,312.50","2,246.53","256.58K","0.44%"
"06-02-2018","2,265.22","2,250.00","2,310.25","2,200.00","274.27K","-1.87%"
"05-02-2018","2,308.35","2,349.50","2,349.50","2,280.00","354.84K","-2.32%"
"02-02-2018","2,363.22","2,337.75","2,370.00","2,288.50","374.37K","-0.30%"
"01-02-2018","2,370.25","2,342.12","2,380.85","2,327.93","297.69K","1.20%"
"31-01-2018","2,342.07","2,345.00","2,356.20","2,323.60","143.77K","-0.46%"
"30-01-2018","2,352.80","2,334.50","2,370.03","2,320.10","258.33K","0.29%"
"29-01-2018","2,346.05","2,320.00","2,355.00","2,303.50","220.44K","1.44%"
"25-01-2018","2,312.80","2,359.60","2,359.60","2,300.50","796.63K","-1.98%"
"24-01-2018","2,359.62","2,368.20","2,377.57","2,340.53","160.13K","-0.36%"
"23-01-2018","2,368.22","2,342.50","2,380.28","2,324.62","200.71K","0.62%"
"22-01-2018","2,353.68","2,337.50","2,376.00","2,335.00","161.80K","0.49%"
"19-01-2018","2,342.22","2,332.50","2,346.40","2,315.00","131.19K","1.14%"
"18-01-2018","2,315.75","2,379.85","2,389.40","2,303.00","355.85K","-2.49%"
"17-01-2018","2,374.90","2,340.00","2,376.50","2,320.03","205.68K","1.55%"
"16-01-2018","2,338.68","2,362.00","2,386.50","2,300.50","336.20K","-0.90%"
"15-01-2018","2,359.93","2,354.15","2,393.00","2,352.50","177.46K","0.25%"
"12-01-2018","2,354.15","2,367.50","2,384.50","2,330.68","257.27K","-0.28%"
"11-01-2018","2,360.78","2,335.00","2,374.50","2,316.00","223.46K","1.00%"
"10-01-2018","2,337.38","2,328.43","2,354.50","2,315.75","388.76K","0.71%"
"09-01-2018","2,320.97","2,350.00","2,356.68","2,312.43","244.28K","-1.10%"
"08-01-2018","2,346.88","2,330.00","2,355.50","2,313.82","176.83K","1.07%"
"05-01-2018","2,322.05","2,331.00","2,339.75","2,307.18","264.12K","0.38%"
"04-01-2018","2,313.20","2,329.50","2,344.45","2,305.07","334.70K","-1.17%"
"03-01-2018","2,340.47","2,329.50","2,354.97","2,328.28","166.05K","0.53%"
"02-01-2018","2,328.03","2,369.12","2,371.12","2,322.00","176.80K","-1.73%"
"01-01-2018","2,369.12","2,375.00","2,387.00","2,357.60","112.32K","0.62%"
"29-12-2017","2,354.62","2,333.03","2,364.47","2,333.00","263.16K","0.93%"
"28-12-2017","2,333.03","2,370.55","2,370.57","2,328.05","395.05K","-1.46%"
"27-12-2017","2,367.57","2,372.80","2,375.00","2,361.93","188.50K","-0.22%"
"26-12-2017","2,372.80","2,387.50","2,387.50","2,363.15","142.75K","-0.02%"
"22-12-2017","2,373.32","2,403.50","2,412.47","2,367.50","569.02K","0.29%"
"21-12-2017","2,366.35","2,365.07","2,375.00","2,353.00","172.13K","-0.27%"
"20-12-2017","2,372.70","2,385.00","2,385.00","2,357.50","263.21K","-0.23%"
"19-12-2017","2,378.28","2,357.50","2,389.72","2,339.15","548.37K","1.21%"
"18-12-2017","2,349.75","2,355.32","2,355.32","2,299.20","373.04K","-0.09%"
"15-12-2017","2,351.80","2,374.10","2,374.10","2,340.53","255.60K","0.19%"
"14-12-2017","2,347.43","2,423.75","2,423.75","2,330.00","359.05K","-2.49%"
"13-12-2017","2,407.43","2,430.00","2,436.50","2,397.60","146.55K","-0.93%"
"12-12-2017","2,430.05","2,438.00","2,454.50","2,413.00","131.96K","-0.19%"
"11-12-2017","2,434.60","2,435.05","2,474.50","2,418.90","202.69K","0.27%"
"08-12-2017","2,427.93","2,474.97","2,481.95","2,418.00","233.56K","-1.37%"
"07-12-2017","2,461.62","2,385.00","2,475.00","2,382.53","279.80K","3.42%"
"06-12-2017","2,380.22","2,397.45","2,397.45","2,357.62","156.71K","-0.03%"
"05-12-2017","2,380.93","2,381.62","2,405.30","2,367.65","200.32K","-0.03%"
"04-12-2017","2,381.62","2,382.50","2,405.38","2,375.00","132.58K","-0.89%"
"01-12-2017","2,402.97","2,420.53","2,432.50","2,382.30","331.53K","-0.20%"
"30-11-2017","2,407.80","2,407.00","2,441.00","2,345.05","6.27M","0.09%"
"29-11-2017","2,405.57","2,410.00","2,415.53","2,392.53","305.99K","0.34%"
"28-11-2017","2,397.35","2,406.00","2,426.85","2,390.10","302.22K","-0.05%"
"27-11-2017","2,398.45","2,384.50","2,411.97","2,380.38","388.64K","1.16%"
"24-11-2017","2,371.00","2,393.03","2,397.28","2,354.28","291.79K","-0.84%"
"23-11-2017","2,391.18","2,390.72","2,405.00","2,380.53","143.06K","0.15%"
"22-11-2017","2,387.57","2,412.50","2,418.22","2,374.00","242.73K","-0.87%"
"21-11-2017","2,408.45","2,385.00","2,421.97","2,384.50","301.55K","1.13%"
"20-11-2017","2,381.60","2,388.50","2,399.50","2,362.18","318.36K","0.28%"
"17-11-2017","2,375.03","2,384.50","2,414.93","2,367.50","398.04K","0.28%"
"16-11-2017","2,368.35","2,370.00","2,408.03","2,364.00","258.55K","-0.27%"
"15-11-2017","2,374.88","2,390.00","2,412.50","2,363.10","195.02K","-0.81%"
"14-11-2017","2,394.18","2,453.50","2,457.57","2,388.15","558.68K","-1.92%"
"13-11-2017","2,441.15","2,387.50","2,463.30","2,343.78","668.37K","0.19%"
"10-11-2017","2,436.50","2,389.50","2,458.90","2,370.50","487.21K","2.42%"
"09-11-2017","2,378.97","2,332.50","2,399.90","2,326.80","345.83K","2.24%"
"08-11-2017","2,326.75","2,334.50","2,343.68","2,300.10","198.65K","0.10%"
"07-11-2017","2,324.50","2,334.00","2,371.00","2,304.00","408.35K","0.13%"
"06-11-2017","2,321.53","2,326.10","2,350.22","2,310.07","240.01K","-0.32%"
"03-11-2017","2,329.05","2,354.45","2,354.45","2,315.05","115.57K","-0.01%"
"02-11-2017","2,329.32","2,351.07","2,361.88","2,292.40","168.10K","-0.82%"
"01-11-2017","2,348.62","2,321.00","2,372.78","2,321.00","271.26K","1.24%"
"31-10-2017","2,319.75","2,375.00","2,385.00","2,315.35","238.03K","-2.24%"
"30-10-2017","2,372.95","2,300.00","2,383.72","2,300.00","315.00K","3.23%"
"27-10-2017","2,298.68","2,304.45","2,327.30","2,285.05","187.42K","-0.16%"
"26-10-2017","2,302.32","2,313.28","2,331.78","2,293.50","300.78K","-0.85%"
"25-10-2017","2,322.12","2,324.50","2,329.95","2,287.50","307.03K","0.40%"
"24-10-2017","2,312.93","2,344.00","2,344.00","2,301.03","145.05K","-0.63%"
"23-10-2017","2,327.60","2,321.35","2,373.47","2,319.05","242.70K","0.41%"
"19-10-2017","2,318.12","2,355.00","2,362.50","2,310.05","29.40K","-1.06%"
"18-10-2017","2,342.93","2,310.50","2,362.50","2,302.53","358.18K","1.53%"
"17-10-2017","2,307.65","2,265.00","2,320.00","2,265.00","212.61K","1.66%"
"16-10-2017","2,270.05","2,295.07","2,308.85","2,257.55","222.75K","-0.92%"
"13-10-2017","2,291.10","2,275.00","2,328.00","2,275.00","711.83K","0.83%"
"12-10-2017","2,272.22","2,197.45","2,289.25","2,194.53","852.12K","3.85%"
"11-10-2017","2,187.97","2,176.00","2,199.50","2,151.15","645.59K","0.63%"
"10-10-2017","2,174.30","2,189.50","2,195.20","2,167.00","174.92K","0.09%"
"09-10-2017","2,172.25","2,180.93","2,196.57","2,161.47","368.16K","-0.40%"
"06-10-2017","2,180.93","2,181.75","2,185.00","2,163.25","201.95K","-0.04%"
"05-10-2017","2,181.82","2,192.50","2,192.50","2,172.53","148.21K","0.50%"
"04-10-2017","2,170.93","2,165.00","2,199.00","2,165.00","227.52K","0.04%"
"03-10-2017","2,170.03","2,207.50","2,207.50","2,165.00","145.81K","-0.10%"
"29-09-2017","2,172.12","2,172.50","2,178.05","2,162.03","312.36K","0.10%"
"28-09-2017","2,169.85","2,143.50","2,187.50","2,143.00","352.83K","0.88%"
"27-09-2017","2,150.88","2,165.95","2,178.68","2,136.47","315.85K","-0.56%"
"26-09-2017","2,163.00","2,140.65","2,170.00","2,132.50","211.24K","1.05%"
"25-09-2017","2,140.55","2,116.30","2,159.22","2,116.30","267.89K","0.25%"
"22-09-2017","2,135.15","2,152.45","2,172.85","2,127.03","385.62K","-1.34%"
"21-09-2017","2,164.05","2,187.00","2,187.00","2,153.03","160.57K","-0.53%"
"20-09-2017","2,175.53","2,185.00","2,193.47","2,170.62","94.14K","-0.44%"
"19-09-2017","2,185.10","2,185.12","2,197.50","2,161.50","217.86K","-0.42%"
"18-09-2017","2,194.22","2,189.95","2,204.50","2,181.15","435.43K","0.72%"
"15-09-2017","2,178.50","2,172.50","2,190.43","2,165.00","279.59K","0.38%"
"14-09-2017","2,170.32","2,174.50","2,174.50","2,156.72","189.13K","0.25%"
"13-09-2017","2,164.97","2,162.50","2,180.00","2,140.00","185.58K","0.30%"
"12-09-2017","2,158.60","2,165.00","2,169.25","2,151.45","226.84K","0.46%"
"11-09-2017","2,148.65","2,145.00","2,165.00","2,145.00","142.19K","0.21%"
"08-09-2017","2,144.12","2,140.50","2,175.00","2,134.68","278.69K","0.64%"
"07-09-2017","2,130.55","2,125.50","2,147.50","2,122.00","229.85K","0.31%"
"06-09-2017","2,123.93","2,115.00","2,128.50","2,104.50","231.28K","-0.30%"
"05-09-2017","2,130.30","2,121.00","2,135.93","2,110.00","274.21K","0.97%"
"04-09-2017","2,109.82","2,122.50","2,129.50","2,075.50","229.53K","-0.57%"
"01-09-2017","2,121.97","2,110.00","2,130.15","2,100.75","192.34K","0.31%"
"31-08-2017","2,115.47","2,133.85","2,136.00","2,106.12","269.09K","-0.25%"
"30-08-2017","2,120.68","2,090.00","2,131.25","2,090.00","202.47K","1.65%"
"29-08-2017","2,086.30","2,090.50","2,109.62","2,071.10","330.26K","-0.37%"
"28-08-2017","2,094.15","2,125.00","2,129.43","2,087.97","300.06K","-0.61%"
"24-08-2017","2,107.05","2,117.50","2,137.20","2,096.68","246.84K","-0.78%"
"23-08-2017","2,123.57","2,112.85","2,133.85","2,078.00","237.42K","1.15%"
"22-08-2017","2,099.43","2,122.50","2,129.47","2,090.32","212.37K","-0.73%"
"21-08-2017","2,114.90","2,118.10","2,138.70","2,106.03","192.69K","-0.51%"
"18-08-2017","2,125.72","2,105.53","2,141.97","2,105.53","160.61K","0.02%"
"17-08-2017","2,125.25","2,169.50","2,169.93","2,117.50","341.41K","-1.15%"
"16-08-2017","2,149.97","2,087.50","2,155.97","2,085.53","589.40K","3.36%"
"14-08-2017","2,080.00","2,061.68","2,103.12","2,050.75","198.66K","1.42%"
"11-08-2017","2,050.97","2,040.38","2,078.50","2,025.50","297.43K","-0.42%"
"10-08-2017","2,059.60","2,014.00","2,116.97","2,014.00","653.17K","1.49%"
"09-08-2017","2,029.45","2,034.50","2,037.45","1,996.45","348.02K","-0.33%"
"08-08-2017","2,036.17","2,058.00","2,070.57","1,990.00","750.35K","-0.86%"
"07-08-2017","2,053.90","1,959.40","2,105.93","1,950.03","1.78M","4.86%"
"04-08-2017","1,958.70","1,915.00","1,968.75","1,915.00","193.84K","1.12%"
"03-08-2017","1,936.97","1,926.20","1,945.00","1,917.03","149.36K","0.25%"
"02-08-2017","1,932.05","1,955.00","1,964.50","1,920.33","321.54K","-1.11%"
"01-08-2017","1,953.75","1,959.90","1,979.00","1,942.78","228.94K","-0.36%"
"31-07-2017","1,960.80","1,959.80","1,978.30","1,939.50","255.94K","0.38%"
"28-07-2017","1,953.33","1,937.00","1,964.17","1,917.60","238.96K","0.79%"
"27-07-2017","1,937.95","1,926.00","1,959.20","1,920.50","280.74K","0.66%"
"26-07-2017","1,925.30","1,931.00","1,931.00","1,920.15","156.29K","0.00%"
"25-07-2017","1,925.25","1,925.00","1,926.65","1,910.53","195.42K","0.55%"
"24-07-2017","1,914.72","1,917.55","1,934.00","1,907.58","203.98K","-0.12%"
"21-07-2017","1,917.03","1,909.50","1,922.50","1,895.10","240.82K","1.13%"
"20-07-2017","1,895.55","1,902.50","1,917.50","1,882.50","415.90K","-0.40%"
"19-07-2017","1,903.10","1,877.35","1,919.50","1,877.35","525.20K","1.69%"
"18-07-2017","1,871.47","1,850.00","1,879.00","1,828.03","131.06K","1.22%"
"17-07-2017","1,848.85","1,859.97","1,866.50","1,837.70","108.71K","-0.58%"
"14-07-2017","1,859.60","1,867.35","1,867.35","1,852.58","77.93K","-0.23%"
"13-07-2017","1,863.80","1,862.00","1,881.95","1,852.00","127.80K","0.69%"
"12-07-2017","1,851.08","1,848.50","1,862.35","1,846.00","360.40K","0.14%"
"11-07-2017","1,848.53","1,845.30","1,867.58","1,843.53","164.31K","-0.51%"
"10-07-2017","1,857.97","1,855.22","1,864.00","1,849.00","34.22K","0.64%"
"07-07-2017","1,846.17","1,860.05","1,860.97","1,838.45","239.42K","-1.05%"
"06-07-2017","1,865.70","1,870.00","1,875.00","1,860.72","246.41K","-0.05%"
"05-07-2017","1,866.72","1,879.50","1,884.50","1,857.50","226.04K","-0.39%"
"04-07-2017","1,874.03","1,855.05","1,883.95","1,855.05","245.56K","1.20%"
"03-07-2017","1,851.88","1,863.00","1,873.30","1,839.50","148.91K","0.37%"
"30-06-2017","1,845.03","1,811.10","1,855.92","1,809.70","479.70K","1.45%"
"29-06-2017","1,818.60","1,819.22","1,848.50","1,800.50","181.42K","0.03%"
"28-06-2017","1,818.08","1,822.50","1,837.80","1,795.03","257.16K","-0.31%"
"27-06-2017","1,823.78","1,839.30","1,839.30","1,806.72","167.39K","-0.05%"
"23-06-2017","1,824.75","1,820.88","1,833.80","1,803.25","203.43K","0.21%"
"22-06-2017","1,820.88","1,850.00","1,850.00","1,816.25","301.57K","-0.78%"
"21-06-2017","1,835.15","1,790.00","1,845.00","1,780.00","178.28K","2.41%"
"20-06-2017","1,791.90","1,789.42","1,809.35","1,784.50","181.61K","-0.23%"
"19-06-2017","1,796.12","1,785.00","1,811.78","1,785.00","117.85K","0.65%"
"16-06-2017","1,784.47","1,782.40","1,789.00","1,761.50","279.67K","0.12%"
"15-06-2017","1,782.40","1,810.00","1,815.00","1,777.12","175.76K","-1.35%"
"14-06-2017","1,806.78","1,823.00","1,823.00","1,790.25","100.49K","-0.35%"
"13-06-2017","1,813.05","1,824.38","1,824.38","1,802.50","106.04K","-0.02%"
"12-06-2017","1,813.33","1,832.50","1,853.20","1,807.00","162.42K","-1.26%"
"09-06-2017","1,836.50","1,824.00","1,849.50","1,820.62","290.83K","0.93%"
"08-06-2017","1,819.65","1,821.80","1,829.50","1,810.33","90.78K","-0.12%"
"07-06-2017","1,821.80","1,818.80","1,837.50","1,800.10","259.42K","0.45%"
"06-06-2017","1,813.67","1,826.85","1,836.00","1,797.92","272.08K","-0.44%"
"05-06-2017","1,821.65","1,795.80","1,857.00","1,795.80","502.60K","1.44%"
"02-06-2017","1,795.80","1,814.95","1,832.50","1,780.00","299.54K","-0.40%"
"01-06-2017","1,802.95","1,792.50","1,805.50","1,770.00","405.62K","2.07%"
"31-05-2017","1,766.33","1,708.50","1,774.00","1,708.50","419.00K","3.13%"
"30-05-2017","1,712.72","1,719.85","1,725.00","1,689.15","493.31K","0.21%"
"29-05-2017","1,709.20","1,704.20","1,730.00","1,685.75","392.34K","0.07%"
"26-05-2017","1,707.92","1,757.00","1,772.50","1,701.10","886.10K","-2.90%"
"25-05-2017","1,758.90","1,785.00","1,785.00","1,725.60","338.88K","-0.44%"
"24-05-2017","1,766.65","1,802.50","1,807.92","1,735.95","199.37K","-1.69%"
"23-05-2017","1,797.10","1,827.50","1,841.95","1,790.03","265.43K","-1.08%"
"22-05-2017","1,816.72","1,810.95","1,848.50","1,801.60","212.64K","1.42%"
"19-05-2017","1,791.35","1,799.92","1,835.00","1,781.50","287.47K","0.77%"
"18-05-2017","1,777.72","1,842.80","1,842.80","1,773.05","142.01K","-3.11%"
"17-05-2017","1,834.80","1,876.00","1,876.85","1,830.00","135.12K","-2.22%"
"16-05-2017","1,876.42","1,870.78","1,887.00","1,853.50","219.25K","0.30%"
"15-05-2017","1,870.78","1,852.00","1,899.75","1,840.03","236.79K","1.01%"
"12-05-2017","1,852.12","1,852.50","1,867.50","1,830.90","124.62K","-0.11%"
"11-05-2017","1,854.17","1,845.00","1,872.00","1,842.60","326.90K","-0.08%"
"10-05-2017","1,855.65","1,793.50","1,860.90","1,793.50","669.36K","3.29%"
"09-05-2017","1,796.47","1,767.00","1,801.97","1,759.53","188.86K","1.41%"
"08-05-2017","1,771.47","1,770.97","1,781.97","1,757.03","72.91K","0.39%"
"05-05-2017","1,764.67","1,796.05","1,799.80","1,758.22","96.25K","-1.75%"
"04-05-2017","1,796.05","1,787.47","1,810.00","1,782.67","239.36K","0.32%"
"03-05-2017","1,790.25","1,790.08","1,815.00","1,756.65","214.20K","0.18%"
"02-05-2017","1,786.97","1,805.00","1,822.20","1,777.83","187.46K","-1.40%"
"28-04-2017","1,812.28","1,777.53","1,819.50","1,774.12","329.72K","1.95%"
"27-04-2017","1,777.53","1,775.00","1,804.50","1,723.40","352.27K","0.05%"
"26-04-2017","1,776.70","1,745.00","1,799.00","1,730.00","625.87K","2.18%"
