Date,Price,Open,High,Low,Vol.,Change %
16-02-2016,"1,312.95","1,327.55","1,345.00","1,305.25",315.38K,-1.50%
17-02-2016,"1,326.10","1,322.50","1,331.50","1,272.60",254.61K,1.00%
18-02-2016,"1,376.75","1,334.20","1,383.83","1,334.20",390.16K,3.82%
19-02-2016,"1,362.25","1,381.50","1,381.50","1,352.78",254.27K,-1.05%
22-02-2016,"1,399.67","1,354.50","1,400.50","1,354.50",704.00K,2.75%
23-02-2016,"1,401.12","1,397.55","1,409.00","1,387.50",331.17K,0.10%
24-02-2016,"1,376.70","1,401.50","1,403.95","1,368.30",419.47K,-1.74%
25-02-2016,"1,342.97","1,377.50","1,386.85","1,336.12",442.20K,-2.45%
26-02-2016,"1,356.22","1,346.50","1,365.25","1,337.05",431.11K,0.99%
29-02-2016,"1,378.12","1,361.00","1,414.00","1,320.00",364.93K,1.61%
01-03-2016,"1,420.85","1,378.00","1,422.50","1,378.00",329.54K,3.10%
02-03-2016,"1,431.42","1,425.50","1,457.25","1,422.15",320.22K,0.74%
03-03-2016,"1,420.92","1,439.00","1,446.40","1,416.00",258.81K,-0.73%
04-03-2016,"1,427.60","1,432.00","1,438.47","1,421.00",172.66K,0.47%
08-03-2016,"1,409.53","1,425.00","1,442.42","1,375.00",382.15K,-1.27%
09-03-2016,"1,418.90","1,404.97","1,428.00","1,392.50",307.37K,0.66%
10-03-2016,"1,417.33","1,415.00","1,429.00","1,400.00",294.11K,-0.11%
11-03-2016,"1,408.05","1,420.35","1,423.22","1,404.50",143.19K,-0.65%
14-03-2016,"1,411.53","1,416.00","1,430.00","1,407.50",224.72K,0.25%
15-03-2016,"1,379.38","1,400.12","1,410.92","1,375.47",153.94K,-2.28%
16-03-2016,"1,360.15","1,370.05","1,378.00","1,337.08",479.51K,-1.39%
17-03-2016,"1,348.80","1,370.00","1,370.05","1,344.00",268.31K,-0.83%
18-03-2016,"1,342.90","1,349.50","1,357.50","1,335.12",241.69K,-0.44%
21-03-2016,"1,367.47","1,345.50","1,374.50","1,345.50",198.83K,1.83%
22-03-2016,"1,375.75","1,368.00","1,389.95","1,362.50",241.61K,0.61%
23-03-2016,"1,362.65","1,377.58","1,381.05","1,352.65",216.97K,-0.95%
28-03-2016,"1,312.80","1,372.78","1,380.00","1,300.62",564.34K,-3.66%
29-03-2016,"1,291.58","1,307.50","1,312.50","1,259.53",391.99K,-1.62%
30-03-2016,"1,319.25","1,309.75","1,324.50","1,295.08",523.35K,2.14%
31-03-2016,"1,343.25","1,312.70","1,352.45","1,307.75",692.93K,1.82%
01-04-2016,"1,339.53","1,330.75","1,358.95","1,330.75",353.07K,-0.28%
04-04-2016,"1,329.60","1,350.00","1,351.78","1,325.00",368.80K,-0.74%
05-04-2016,"1,320.67","1,325.00","1,328.12","1,303.58",428.20K,-0.67%
06-04-2016,"1,353.60","1,320.67","1,361.97","1,320.67",967.30K,2.49%
07-04-2016,"1,350.58","1,355.05","1,360.53","1,339.55",204.21K,-0.22%
08-04-2016,"1,343.40","1,345.50","1,357.75","1,340.55",276.71K,-0.53%
11-04-2016,"1,328.47","1,348.40","1,353.83","1,322.50",430.04K,-1.11%
12-04-2016,"1,352.88","1,342.50","1,369.20","1,325.10",705.89K,1.84%
13-04-2016,"1,380.55","1,354.30","1,392.50","1,354.30",520.83K,2.05%
18-04-2016,"1,425.33","1,385.25","1,428.00","1,385.25",617.24K,3.24%
20-04-2016,"1,422.65","1,422.50","1,443.92","1,413.75",626.89K,-0.19%
21-04-2016,"1,393.92","1,423.85","1,435.00","1,390.00",355.37K,-2.02%
22-04-2016,"1,411.30","1,396.50","1,415.00","1,394.38",289.74K,1.25%
25-04-2016,"1,408.55","1,406.50","1,418.50","1,400.00",342.51K,-0.19%
26-04-2016,"1,418.65","1,410.03","1,424.00","1,398.10",271.58K,0.72%
27-04-2016,"1,430.70","1,415.30","1,437.97","1,415.30",334.87K,0.85%
28-04-2016,"1,412.78","1,437.50","1,459.00","1,406.00",808.75K,-1.25%
29-04-2016,"1,431.30","1,413.50","1,448.00","1,413.00",282.59K,1.31%
02-05-2016,"1,429.20","1,428.00","1,435.97","1,417.50",148.64K,-0.15%
03-05-2016,"1,423.55","1,430.70","1,449.95","1,417.50",439.89K,-0.40%
04-05-2016,"1,408.88","1,423.50","1,428.95","1,401.97",228.92K,-1.03%
05-05-2016,"1,410.72","1,408.50","1,426.00","1,405.05",113.14K,0.13%
06-05-2016,"1,408.65","1,414.00","1,423.50","1,406.00",127.56K,-0.15%
09-05-2016,"1,406.88","1,419.50","1,419.50","1,400.00",560.45K,-0.13%
10-05-2016,"1,410.45","1,407.55","1,431.50","1,407.55",231.40K,0.25%
11-05-2016,"1,423.72","1,405.00","1,429.45","1,395.47",196.20K,0.94%
12-05-2016,"1,468.22","1,433.50","1,475.00","1,420.00",519.27K,3.13%
13-05-2016,"1,477.00","1,467.50","1,488.50","1,462.80",539.45K,0.60%
16-05-2016,"1,467.78","1,482.00","1,489.47","1,451.60",292.50K,-0.62%
17-05-2016,"1,502.83","1,471.10","1,508.95","1,471.10",471.34K,2.39%
18-05-2016,"1,485.80","1,501.97","1,502.00","1,484.00",362.64K,-1.13%
19-05-2016,"1,497.97","1,489.97","1,507.50","1,488.05",313.49K,0.82%
20-05-2016,"1,465.35","1,504.95","1,517.53","1,455.00",404.47K,-2.18%
23-05-2016,"1,341.25","1,425.00","1,425.00","1,330.50",1.52M,-8.47%
24-05-2016,"1,327.03","1,341.25","1,375.00","1,305.00",1.13M,-1.06%
25-05-2016,"1,375.72","1,330.35","1,382.50","1,328.75",708.39K,3.67%
26-05-2016,"1,372.20","1,378.40","1,397.50","1,364.03",719.34K,-0.26%
27-05-2016,"1,359.65","1,379.50","1,380.92","1,350.55",1.03M,-0.91%
30-05-2016,"1,373.03","1,360.00","1,379.00","1,360.00",221.88K,0.98%
31-05-2016,"1,353.10","1,374.00","1,379.50","1,345.47",548.77K,-1.45%
01-06-2016,"1,382.55","1,370.00","1,396.20","1,362.60",961.92K,2.18%
02-06-2016,"1,399.75","1,384.97","1,411.15","1,380.28",372.48K,1.24%
03-06-2016,"1,381.67","1,400.00","1,402.30","1,378.03",333.63K,-1.29%
06-06-2016,"1,386.92","1,382.50","1,394.25","1,367.58",204.05K,0.38%
07-06-2016,"1,397.58","1,388.50","1,405.00","1,388.50",803.05K,0.77%
08-06-2016,"1,385.20","1,390.08","1,403.50","1,380.03",260.92K,-0.89%
09-06-2016,"1,380.62","1,385.00","1,397.75","1,376.03",394.97K,-0.33%
10-06-2016,"1,364.62","1,387.00","1,387.00","1,362.03",184.01K,-1.16%
13-06-2016,"1,339.10","1,358.00","1,358.00","1,330.00",222.10K,-1.87%
14-06-2016,"1,340.58","1,338.00","1,348.25","1,333.75",216.54K,0.11%
15-06-2016,"1,341.30","1,349.50","1,349.50","1,335.62",219.82K,0.05%
16-06-2016,"1,343.45","1,340.00","1,348.10","1,336.03",201.04K,0.16%
17-06-2016,"1,319.80","1,345.00","1,349.25","1,318.40",570.48K,-1.76%
20-06-2016,"1,311.10","1,312.50","1,316.00","1,293.75",361.26K,-0.66%
21-06-2016,"1,282.42","1,297.50","1,303.50","1,280.15",917.58K,-2.19%
22-06-2016,"1,306.85","1,284.20","1,310.00","1,280.55",587.52K,1.90%
23-06-2016,"1,312.72","1,309.00","1,321.00","1,304.65",326.75K,0.45%
24-06-2016,"1,316.47","1,290.00","1,322.20","1,259.55",295.18K,0.29%
27-06-2016,"1,341.65","1,317.50","1,347.97","1,312.65",340.51K,1.91%
28-06-2016,"1,374.08","1,343.50","1,376.80","1,340.03",446.18K,2.42%
29-06-2016,"1,385.70","1,374.90","1,389.05","1,353.38",280.75K,0.85%
30-06-2016,"1,379.47","1,389.95","1,394.72","1,365.50",744.74K,-0.45%
01-07-2016,"1,404.15","1,376.88","1,408.55","1,375.78",433.85K,1.79%
04-07-2016,"1,420.45","1,419.00","1,425.00","1,408.17",293.93K,1.16%
05-07-2016,"1,418.12","1,417.50","1,430.00","1,405.00",151.09K,-0.16%
07-07-2016,"1,404.58","1,415.00","1,420.00","1,401.00",253.01K,-0.95%
08-07-2016,"1,402.53","1,404.58","1,418.00","1,396.20",191.40K,-0.15%
11-07-2016,"1,429.62","1,409.00","1,434.22","1,408.80",357.57K,1.93%
12-07-2016,"1,428.60","1,437.00","1,454.28","1,421.88",348.98K,-0.07%
13-07-2016,"1,433.80","1,434.00","1,442.90","1,414.95",258.71K,0.36%
14-07-2016,"1,429.88","1,445.00","1,446.50","1,427.47",263.18K,-0.27%
15-07-2016,"1,410.30","1,430.00","1,438.33","1,405.60",201.54K,-1.37%
18-07-2016,"1,408.15","1,418.53","1,424.35","1,404.47",193.18K,-0.15%
19-07-2016,"1,380.03","1,410.10","1,413.97","1,376.67",462.54K,-2.00%
20-07-2016,"1,404.72","1,387.45","1,409.00","1,380.00",177.58K,1.79%
21-07-2016,"1,407.38","1,407.40","1,420.00","1,395.00",291.87K,0.19%
22-07-2016,"1,425.45","1,408.00","1,427.97","1,404.00",359.14K,1.28%
25-07-2016,"1,425.20","1,425.00","1,436.85","1,415.15",238.94K,-0.02%
26-07-2016,"1,411.90","1,425.20","1,428.30","1,405.50",285.70K,-0.93%
27-07-2016,"1,406.40","1,424.00","1,424.00","1,397.50",210.41K,-0.39%
28-07-2016,"1,432.65","1,407.50","1,447.00","1,405.10",488.14K,1.87%
29-07-2016,"1,466.90","1,422.00","1,472.10","1,421.55",431.34K,2.39%
01-08-2016,"1,441.10","1,473.95","1,496.95","1,425.50",342.68K,-1.76%
02-08-2016,"1,440.35","1,453.50","1,456.00","1,435.85",185.46K,-0.05%
03-08-2016,"1,415.22","1,449.00","1,449.00","1,410.03",363.71K,-1.74%
04-08-2016,"1,440.42","1,425.00","1,446.50","1,405.97",395.46K,1.78%
05-08-2016,"1,442.30","1,440.00","1,450.40","1,424.47",246.05K,0.13%
08-08-2016,"1,576.08","1,441.95","1,658.62","1,440.05",3.16M,9.28%
09-08-2016,"1,564.22","1,575.00","1,586.00","1,544.10",792.59K,-0.75%
10-08-2016,"1,551.67","1,564.50","1,565.83","1,530.10",341.64K,-0.80%
11-08-2016,"1,618.45","1,560.00","1,638.50","1,557.40",1.53M,4.30%
12-08-2016,"1,642.55","1,614.95","1,657.50","1,594.22",714.06K,1.49%
16-08-2016,"1,636.03","1,649.05","1,670.00","1,625.00",338.17K,-0.40%
17-08-2016,"1,668.35","1,632.50","1,679.12","1,632.50",524.62K,1.98%
18-08-2016,"1,664.78","1,670.00","1,685.00","1,652.53",304.79K,-0.21%
19-08-2016,"1,675.22","1,665.00","1,685.00","1,658.25",243.24K,0.63%
